rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
1,8,2048,2048,256,32,TK,0.059699201583862306,35.97173146416921
2,8,2048,2048,256,32,NCCL,0.06909440159797668,31.080429069999866
2,8,2048,2048,256,32,TK,0.058956801891326904,36.424697051213606
3,8,2048,2048,256,32,NCCL,0.07104640007019043,30.22649488050611
3,8,2048,2048,256,32,TK,0.05969280004501343,35.97558912265156
4,8,2048,2048,256,32,NCCL,0.0683135986328125,31.435668607399595
4,8,2048,2048,256,32,TK,0.05968639850616455,35.97944760862398
5,8,2048,2048,256,32,NCCL,0.06412799954414368,33.487457323875205
5,8,2048,2048,256,32,TK,0.0579584002494812,37.05215531754127
6,8,2048,2048,256,32,NCCL,0.06865919828414917,31.2774355318357
6,8,2048,2048,256,32,TK,0.057920002937316896,37.07671856170456
7,8,2048,2048,256,32,NCCL,0.07423359751701356,28.9287293062662
7,8,2048,2048,256,32,TK,0.05975040197372437,35.94090712468127
0,8,2048,2048,256,64,NCCL,0.06361600160598754,33.75697299086271
0,8,2048,2048,256,64,TK,0.05902720093727112,36.381254979075756
1,8,2048,2048,256,64,NCCL,0.06433280110359192,33.38085099919734
1,8,2048,2048,256,64,TK,0.059552001953125,36.06064578131803
2,8,2048,2048,256,64,NCCL,0.06241919994354248,34.40421616974226
2,8,2048,2048,256,64,TK,0.059513598680496216,36.0839151994311
3,8,2048,2048,256,64,NCCL,0.06524800062179566,32.91263529204062
3,8,2048,2048,256,64,TK,0.05941759943962097,36.142214903552805
4,8,2048,2048,256,64,NCCL,0.0652671992778778,32.90295388433935
4,8,2048,2048,256,64,TK,0.05950719714164734,36.087796958210944
5,8,2048,2048,256,64,NCCL,0.06438400149345398,33.35430538933399
5,8,2048,2048,256,64,TK,0.05859839916229248,36.647479772483024
6,8,2048,2048,256,64,NCCL,0.0616703987121582,34.82195174419438
6,8,2048,2048,256,64,TK,0.05711359977722168,37.60021529682095
7,8,2048,2048,256,64,NCCL,0.06472319960594178,33.17950381122466
7,8,2048,2048,256,64,TK,0.059571200609207155,36.04902412640129
0,8,4096,4096,512,1,NCCL,0.2767168045043945,62.08466166255967
