world_size,M,K,N,num_comm_sms,impl,ms_mean,ms_std,ms_min,ms_max,tflops_mean,tflops_std,tflops_min,tflops_max,ranks
8,8192,8192,1024,2,PK,0.46167040467262266,0.0007393900426463368,0.4598720073699951,0.4620607852935791,297.69996414881456,0.4783057405559636,297.4477771029098,298.8634908613212,8
8,8192,8192,1024,4,NCCL,0.5662631928920746,0.0021588380028048854,0.5631423950195312,0.569484806060791,242.71523180662248,0.9257171167201671,241.33910511622807,244.05719528048186,8
8,8192,8192,1024,4,PK,0.49817039966583254,0.0007919407217599782,0.4963263988494873,0.49866881370544436,275.8880461280084,0.4397599345958058,275.61168794722937,276.912438650435,8
8,8192,8192,1024,8,NCCL,0.5683055996894837,0.0029776950321228506,0.5623040199279785,0.571999979019165,241.8457046025068,1.2722320139209844,240.27789949865553,244.4210757902879,8
8,8192,8192,1024,8,PK,0.5514887988567352,0.0006108962368051719,0.54999680519104,0.5518335819244384,249.2146742608279,0.27667751050685874,249.05869808195047,249.890457862316,8
8,8192,8192,1024,16,NCCL,0.5666015982627869,0.0027637547818914645,0.5607232093811035,0.56943359375,242.57226031518786,1.1896671205880813,241.36081007602124,245.11015626354722,8
8,8192,8192,1024,16,PK,0.5459663987159729,0.0007560648060155562,0.5441792011260986,0.5464704036712646,251.73561044657527,0.3494669399905257,251.50301379299935,252.56193766242876,8
8,8192,8192,1024,32,NCCL,0.5686056017875671,0.0029281701317875907,0.5650559902191162,0.5736127853393554,241.7178675819521,1.2411909626388655,239.6023188198109,243.2306812970945,8
8,8192,8192,1024,32,PK,0.5701367974281312,0.0006415179770795867,0.5685760021209717,0.5704703807830811,241.06338459517235,0.2718521722652754,240.92215494753367,241.72485817077825,8
8,8192,8192,1024,64,NCCL,0.5683192074298858,0.0035653430717731954,0.5643392086029053,0.5741888046264648,241.84237834675747,1.5114914546383582,239.36195266191248,243.53961478637626,8
8,8192,8192,1024,64,PK,0.7379344046115875,0.000887608526513322,0.7357952117919921,0.7383999824523926,186.24843483101907,0.2245454535214243,186.130764813312,186.7896817883258,8
8,16384,16384,2048,1,NCCL,2.751743221282959,0.004669945014155147,2.7456512451171875,2.7588544845581056,399.57013020943526,0.6777583326064306,398.5391886125927,400.45567685675667,8
8,16384,16384,2048,1,PK,2.258838391304016,0.0006189557863708699,2.257721519470215,2.259238433837891,486.7597895742899,0.1334181997161749,486.67356721096496,487.0005526784391,8
8,16384,16384,2048,2,NCCL,2.745309567451477,0.0037071445029988946,2.738489532470703,2.7498943328857424,400.5061565852901,0.541262909136365,399.83777362898564,401.50295071020605,8
8,16384,16384,2048,2,PK,1.6311799526214599,0.0006331861324725565,1.629689598083496,1.6315391540527344,674.059150294898,0.2618342659152431,673.9106597869986,674.6754897797828,8
8,16384,16384,2048,4,NCCL,2.74895601272583,0.004697979378835313,2.7423168182373048,2.7546432495117186,399.97527539632455,0.6836905795347261,399.14846612928795,400.94259731913087,8
